"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Australia"
"04/17/2020 14:26:01:395 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","maxv","RestrictedMovement","days_of_cash_reserves","Proportion_Time_Avoid","pta","cruise","TimeLockDownOff","Track_and_Trace_Efficiency","Treatment_Benefit","FearTrigger","Diffusion_Adjustment","total_population","Triggerday","lockdown_off","se_incubation","quarantine","spatial_distance","Global_Transmissability","minv","Initial","Proportion_People_Avoid","freewheel","self_capacity","dynamic_behaviour","Compliance_with_Isolation","Illness_period","stimulus","WFH_Capacity","Bed_Capacity","ReInfectionRate","ppa","se_compliance","Age_Isolation","Severity_of_illness","ProductionRate","phwarnings","AsymptomaticPercentage","Population","Mean_Individual_Income","current_cases","Available_Resources","saliency_of_experience","Decay_limit","scale","se_illnesspd","ICU_Beds_in_Australia","Media_Exposure","initialassociationstrength","Superspreaders","care_attitude","Contact_Radius","Hospital_Beds_in_Australia","link_switch","Incubation_Period","case_isolation","policytriggeron","ICU_Required","Speed","[step]","count turtles","ticks","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR","Lockdown_Off"
"4","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","10","2501","10","3","0","0","0","1","33","0","0","true"
"3","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","8","2501","8","2","0","0","0","1","13","0","0","true"
"6","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","2","0","0","0","0","8","0","0","true"
"7","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","9","2501","9","2","0","0","1","0","9","0","0","true"
"5","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","10","2501","10","3","0","0","1","2","18","0","0","true"
"2","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","5","0","0","1","1","19","0","0","true"
"8","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","3","0","0","0","3","21","0","0.5","true"
"4","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","4","0","0","0","4","37","0","2","true"
"1","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","8","2501","8","2","0","0","1","1","17","0","0","true"
"6","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","2","0","0","0","0","8","0","1","true"
"3","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","9","2501","9","2","0","0","0","1","17","0","1","true"
"7","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","10","2501","10","2","0","0","1","1","9","0","0","true"
"2","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","6","0","0","1","0","21","0","0","true"
"5","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","3","0","0","1","1","19","0","1","true"
"8","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","6","0","0","1","2","24","0","0","true"
"6","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","2","0","0","0","0","7","0","0","true"
"4","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","5","0","0","0","3","43","0","2","true"
"1","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","9","2501","9","2","0","0","1","4","20","0","0","true"
"7","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","2","0","0","2","1","10","0","2","true"
"5","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","5","0","0","1","0","20","0","0","true"
"3","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","10","2501","10","3","0","0","0","1","17","0","0","true"
"2","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","7","0","0","1","1","22","0","0","true"
"8","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","9","0","0","1","3","29","0","0","true"
"6","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","14","2501","14","2","0","0","0","1","9","0","0","true"
"4","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","9","0","0","0","3","47","0","0","true"
"1","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","10","2501","10","3","0","0","1","1","22","0","0","true"
"2","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","14","2501","14","7","0","0","1","4","24","0","0","true"
"7","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","12","2501","12","3","0","0","2","0","11","0","1","true"
"8","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","14","2501","14","11","0","0","1","2","33","0","0","true"
"5","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","6","0","0","1","2","24","0","1","true"
"3","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","4","0","0","0","2","20","0","0","true"
"4","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","14","2501","14","12","0","0","0","5","56","0","0","true"
"6","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","15","2501","15","2","0","0","0","2","9","0","0","true"
"1","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","11","2501","11","7","0","0","1","2","23","0","1","true"
"8","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","15","2501","15","14","0","0","1","1","37","0","1","true"
"7","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","13","2501","13","4","0","0","2","2","9","0","0","true"
"2","1","0","30","85","85","false","162","0.25","4","50","10","25000000","72","true","0.2","true","false","53","0","1","85","false","0.8","false","95","15","true","33","4","0","85","1","0","15","5","0.8","50","2500","55000","2","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","15","2501","15","8","0","0","1","3","27","0","3","true"
